vidrio_municipio_codigo;vidrio_municipio_nombre;vidrio_a€o;vidrio_n£mero_habitantes;vidrio_n£mero_contenedores;vidrio_recogido_kg
14;Acebeda, La;2023;67;3;3387
29;Ajalvir;2023;4779;39;59149
35;Alameda del Valle;2023;274;7;15902
40;µlamo, El;2023;10322;56;69855
53;Alcal  de Henares;2023;199184;711;2606407
66;Alcobendas;2023;119416;290;1706604
72;Alcorc¢n;2023;171772;570;2279959
88;Aldea del Fresno;2023;3408;20;28943
91;Algete;2023;20991;105;309118
105;Alpedrete;2023;15312;90;256825
112;Ambite;2023;684;10;12375
127;Anchuelo;2023;1379;14;17166
133;Aranjuez;2023;60668;296;666536
148;Arganda del Rey;2023;58990;277;524015
151;Arroyomolinos;2023;35972;181;356196
164;Atazar, El;2023;104;4;0
170;Batres;2023;1872;22;22710
186;Becerril de la Sierra;2023;6277;65;130024
199;Belmonte de Tajo;2023;1840;19;24830
210;Berrueco, El;2023;802;10;22339
203;Berzosa del Lozoya;2023;217;5;4661
225;Boadilla del Monte;2023;64742;310;1030959
231;Boalo, El;2023;8424;71;179453
246;Braojos;2023;212;3;4715
259;Brea de Tajo;2023;543;18;15410
262;Brunete;2023;11014;81;150297
278;Buitrago del Lozoya;2023;1967;17;36482
284;Bustarviejo;2023;2743;33;65035
297;Cabanillas de la Sierra;2023;939;13;26004
301;Cabrera, La;2023;2882;44;72219
318;Cadalso de los Vidrios;2023;3173;31;31397
323;Camarma de Esteruelas;2023;7792;40;93008
339;Campo Real;2023;6781;32;65908
344;Canencia;2023;460;6;17868
357;Caraba€a;2023;2273;30;33620
360;Casarrubuelos;2023;4062;27;37238
376;Cenicientos;2023;2097;12;14339
382;Cercedilla;2023;7648;63;112763
395;Cervera de Buitrago;2023;164;6;5070
513;Chapiner¡a;2023;2604;22;27022
528;Chinch¢n;2023;5664;37;91485
409;Ciempozuelos;2023;25866;139;213606
416;Cobe€a;2023;7698;46;127482
468;Collado Mediano;2023;7490;32;111232
474;Collado Villalba;2023;65657;256;936240
437;Colmenar de Oreja;2023;8649;65;80222
421;Colmenar del Arroyo;2023;1947;14;32738
455;Colmenar Viejo;2023;55198;195;619704
442;Colmenarejo;2023;9534;47;120516
480;Corpa;2023;798;6;7321
493;Coslada;2023;80171;270;944206
506;Cubas de la Sagra;2023;6817;51;64849
534;Daganzo de Arriba;2023;10611;52;144543
549;Escorial, El;2023;16873;108;293921
552;Estremera;2023;1453;23;29065
565;Fresnedillas de la Oliva;2023;1791;13;22021
571;Fresno de Torote;2023;2522;23;27246
587;Fuenlabrada;2023;188736;539;2107320
590;Fuente el Saz de Jarama;2023;7182;33;97127
604;Fuentidue€a de Tajo;2023;2270;35;32235
611;Galapagar;2023;35273;177;566813
626;Garganta de los Montes;2023;420;9;20595
632;Gargantilla del Lozoya y Pinilla de Buitrago;2023;388;12;24832
647;Gascones;2023;229;4;6620
650;Getafe;2023;185899;618;2115085
663;Gri€¢n;2023;10087;55;128525
679;Guadalix de la Sierra;2023;6814;33;75480
685;Guadarrama;2023;17063;106;261646
698;Hiruela, La;2023;74;2;2082
702;Horcajo de la Sierra-Aoslos;2023;234;7;8062
719;Horcajuelo de la Sierra;2023;108;3;3748
724;Hoyo de Manzanares;2023;8973;47;151010
730;Humanes de Madrid;2023;19902;114;209695
745;Legans;2023;190665;672;2261567
758;Loeches;2023;9108;63;92094
761;Lozoya;2023;621;8;28127
9015;Lozoyuela-Navas-Sieteiglesias;2023;1483;19;28215
783;Madarcos;2023;72;3;2832
796;Madrid;2023;3332035;8788;63501900
800;Majadahonda;2023;72548;247;1288971
822;Manzanares el Real;2023;9386;67;185285
838;Meco;2023;15404;72;171378
843;Mejorada del Campo;2023;24274;91;228000
856;Miraflores de la Sierra;2023;6945;78;118660
869;Molar, El;2023;9759;73;104572
875;Molinos, Los;2023;4786;34;84042
881;Montejo de la Sierra;2023;381;9;10880
894;Moraleja de Enmedio;2023;5453;48;54990
908;Moralzarzal;2023;14124;87;221973
915;Morata de Taju€a;2023;8115;48;66346
920;M¢stoles;2023;211265;652;2269446
936;Navacerrada;2023;3282;40;78184
941;Navalafuente;2023;1637;24;37312
954;Navalagamella;2023;2982;14;25117
967;Navalcarnero;2023;31974;149;263178
973;Navarredonda y San Mams;2023;150;5;8192
992;Navas del Rey;2023;3244;25;42793
1006;Nuevo Bazt n;2023;7050;65;92198
1013;Olmeda de las Fuentes;2023;402;4;10345
1028;Orusco de Taju€a;2023;1415;15;14995
1049;Paracuellos de Jarama;2023;27000;135;362695
1065;Parla;2023;133004;455;1027826
1071;Patones;2023;566;6;9247
1087;Pedrezuela;2023;6400;41;104318
1090;Pelayos de la Presa;2023;2982;20;38225
1104;Perales de Taju€a;2023;3176;29;40660
1111;Pezuela de las Torres;2023;977;11;17762
1126;Pinilla del Valle;2023;204;4;8607
1132;Pinto;2023;55208;219;734318
1147;Pi€ucar-Gandullas;2023;178;8;5222
1150;Pozuelo de Alarc¢n;2023;88784;286;1590283
