Signatura,Denominació comercial,Municipi,Adreça de l'establiment,Nombre de vehicles,Nom explotador(s),NIF/CIF explotador(s)
RC/1,AUTOS MAR AZUL,CALVIÀ,"Carrer PEGUERA, 49 local 12. 07160 Peguera, CALVIÀ, Mallorca",50,AUTOS MAR AZUL SL,B57096927
RC/2,BLAURENT,PALMA,"Carrer LLAUT, 22 pis BAIXOS. 07610 Can Pastilla, PALMA, Mallorca",44,JAIMA ARENAL SL,B07872849
RC/3,AUTOS SEMA,CALVIÀ,"Passeig ILLETAS, 32. 07181 Cas Català-Illetes, CALVIÀ, Mallorca",24,JUAN BAUTISTA MASSANET BARCELO,*********
RC/4,QUALITY RENT,INCA,"Carrer DELS SABATERS, 111. 07300 INCA, Mallorca",82,QUALITY RENT SL,B07945587
RC/5,ROSSLIND,CALVIÀ,"Carrer PUIG DES TEIX, 6 local 1. 07180 Santa Ponça, CALVIÀ, Mallorca",67,ROSSLIND SANTA PONSA SL,B07154636
RC/6,AUTOS SA CALA,CAPDEPERA,"Avinguda provensals, 1. 07589 Font De La Cala, CAPDEPERA, Mallorca",32,Mº ANTONIA SUREDA NEGRE,*********
RC/7,SERVIAUTO,PALMA,"Carrer MARBELLA, 43. 07610 PALMA, Mallorca",54,SERVIAUTO,B07726425
RC/8,BELMIAUTOS,PALMA,"Carrer LLIBANYA, 10 pis BAIXOS. 07600 Arenal (L'), PALMA, Mallorca",6,MIGUEL ANGEL  GOMILA LOPEZ,*********
RC/9,AUTOS BONSAI,CALVIÀ,"Carrer atalaya, 1. 07160 Peguera, CALVIÀ, Mallorca",34,AUTOS BONSAI SL,B07693864
RC/10,RENT A BIKE,PALMA,"Avinguda JOAN MIRO, 330 pis BAIXOS porta D. 07015 PALMA, Mallorca",37,JOSE LUIS PONS PICO,*********
RC/11,SERVICIO LUCKY,PALMA,"Carrer Oliver, 20. 07014 PALMA, Mallorca",42,LUCIANO VAQUER ALORDA,*********
RC/12,AUTOS VICENS,ALCÚDIA,"Avinguda PERE MAS I REUS, 34 local 2. 07400 ALCÚDIA, Mallorca",12,TERESA VICENS VIVES,*********
RC/13,AUTOS BARCELO,FELANITX,"Carrer CALA MARSAL, 18. 07670 Portocolom, FELANITX, Mallorca",3,"AUTOS BARCELO RENT A CAR, SL",B07811037
