Nombre,Nota1,Nota2,Nota3
Alumno1,3,0,0
Alumno2,4,1,1
Alumno3,1,4,4
Alumno4,4,1,4
Alumno5,2,2,4
Alumno6,0,3,0
Alumno7,4,3,2
Alumno8,0,0,1
Alumno9,3,4,3
Alumno10,3,1,2
Alumno11,0,0,0
Alumno12,1,4,1
Alumno13,0,1,2
Alumno14,4,0,0
Alumno15,4,4,3
Alumno16,0,4,2
Alumno17,3,3,4
Alumno18,2,4,2
Alumno19,1,2,4
Alumno20,3,1,1
Alumno21,3,4,2
Alumno22,3,0,0
Alumno23,3,2,0
Alumno24,2,2,3
Alumno25,1,1,0
Alumno26,2,0,0
Alumno27,4,2,3
Alumno28,4,0,1
Alumno29,0,1,3
Alumno30,2,3,0
Alumno31,4,3,0
Alumno32,1,3,4
Alumno33,4,3,0
Alumno34,0,1,3
Alumno35,0,3,1
Alumno36,2,0,4
Alumno37,2,3,4
Alumno38,1,0,4
Alumno39,1,1,1
Alumno40,1,3,4
Alumno41,1,2,3
Alumno42,2,1,3
Alumno43,0,1,2
Alumno44,3,1,4
Alumno45,2,2,3
Alumno46,2,4,0
Alumno47,4,0,2
Alumno48,2,0,2
Alumno49,4,1,0
Alumno50,1,3,3
Alumno51,3,4,3
Alumno52,0,4,3
Alumno53,1,2,2
Alumno54,4,4,2
Alumno55,1,0,3
Alumno56,0,0,4
Alumno57,2,1,4
Alumno58,1,4,4
Alumno59,3,2,3
Alumno60,0,2,0
Alumno61,3,2,4
Alumno62,3,0,2
Alumno63,1,4,2
Alumno64,3,1,2
Alumno65,0,1,1
Alumno66,0,0,0
Alumno67,4,3,0
Alumno68,2,1,1
Alumno69,1,2,4
Alumno70,2,2,1
Alumno71,1,2,1
Alumno72,1,0,2
Alumno73,4,2,4
Alumno74,2,3,1
Alumno75,2,0,0
Alumno76,1,4,2
Alumno77,3,2,0
Alumno78,3,3,4
Alumno79,4,2,2
Alumno80,1,3,2
Alumno81,3,0,0
Alumno82,2,3,4
Alumno83,4,1,1
Alumno84,0,0,1
Alumno85,2,0,4
Alumno86,4,1,0
Alumno87,1,3,4
Alumno88,3,1,4
Alumno89,1,3,3
Alumno90,0,2,1
Alumno91,1,3,3
Alumno92,0,1,2
Alumno93,2,0,2
Alumno94,0,2,3
Alumno95,1,1,0
Alumno96,3,4,3
Alumno97,0,0,3
Alumno98,2,3,1
Alumno99,1,2,4
Alumno100,2,4,2
Alumno101,1,1,1
Alumno102,1,2,4
Alumno103,0,2,2
Alumno104,2,0,0
Alumno105,4,1,0
Alumno106,2,1,3
Alumno107,0,0,4
Alumno108,4,1,2
Alumno109,1,2,1
Alumno110,3,3,0
Alumno111,0,1,3
Alumno112,3,0,4
Alumno113,1,2,4
Alumno114,1,0,2
Alumno115,1,1,0
Alumno116,0,3,4
Alumno117,4,0,2
Alumno118,0,4,3
Alumno119,1,3,2
Alumno120,4,1,0
Alumno121,3,1,0
Alumno122,0,2,0
Alumno123,4,1,3
Alumno124,0,4,3
Alumno125,4,3,0
Alumno126,4,1,2
Alumno127,0,1,2
Alumno128,2,1,4
Alumno129,0,1,4
Alumno130,3,1,0
Alumno131,4,4,1
Alumno132,4,1,4
Alumno133,3,2,1
Alumno134,4,1,3
Alumno135,1,1,0
Alumno136,0,1,2
Alumno137,2,4,3
Alumno138,3,2,0
Alumno139,1,3,2
Alumno140,2,1,3
Alumno141,3,0,4
Alumno142,1,0,2
Alumno143,1,2,2
Alumno144,4,3,0
Alumno145,0,1,2
Alumno146,1,0,1
Alumno147,0,3,0
Alumno148,0,1,1
Alumno149,0,2,2
Alumno150,2,2,0
Alumno151,2,2,0
Alumno152,1,3,4
Alumno153,1,1,0
Alumno154,0,1,0
Alumno155,3,3,1
Alumno156,1,4,3
Alumno157,4,1,2
Alumno158,0,3,0
Alumno159,4,0,3
Alumno160,2,1,0
Alumno161,0,3,1
Alumno162,2,3,0
Alumno163,2,0,3
Alumno164,4,1,4
Alumno165,3,1,4
Alumno166,1,3,2
Alumno167,4,0,2
Alumno168,3,1,4
Alumno169,1,1,0
Alumno170,0,1,3
Alumno171,3,4,0
Alumno172,1,1,1
Alumno173,2,2,3
Alumno174,1,2,2
Alumno175,0,1,0
Alumno176,0,2,0
Alumno177,1,1,2
Alumno178,1,3,1
Alumno179,0,3,2
Alumno180,4,3,3
Alumno181,4,2,4
Alumno182,2,1,4
Alumno183,4,1,0
Alumno184,1,4,1
Alumno185,1,0,2
Alumno186,4,1,3
Alumno187,2,4,0
Alumno188,2,4,0
Alumno189,0,3,1
Alumno190,1,2,0
Alumno191,1,2,2
Alumno192,2,3,4
Alumno193,4,1,3
Alumno194,2,4,4
Alumno195,4,1,2
Alumno196,4,3,3
Alumno197,2,3,2
Alumno198,0,2,4
Alumno199,4,4,4
Alumno200,1,2,1
Alumno201,4,1,4
Alumno202,4,2,4
Alumno203,1,1,3
Alumno204,3,4,3
Alumno205,3,0,0
Alumno206,2,4,3
Alumno207,1,0,4
Alumno208,0,3,0
Alumno209,4,2,0
Alumno210,2,3,2
Alumno211,4,3,1
Alumno212,3,3,4
Alumno213,2,3,3
Alumno214,1,1,1
Alumno215,2,0,4
Alumno216,2,0,0
Alumno217,4,2,1
Alumno218,2,2,3
Alumno219,0,0,3
Alumno220,4,0,0
Alumno221,2,2,1
Alumno222,1,1,3
Alumno223,3,4,4
Alumno224,2,1,3
Alumno225,1,1,4
Alumno226,2,1,3
Alumno227,3,4,0
Alumno228,0,3,3
Alumno229,4,4,3
Alumno230,2,4,2
Alumno231,1,3,1
Alumno232,1,3,4
Alumno233,2,3,4
Alumno234,2,0,3
Alumno235,2,1,2
Alumno236,1,3,2
Alumno237,2,0,2
Alumno238,4,0,1
Alumno239,3,0,1
Alumno240,0,3,4
Alumno241,3,4,0
Alumno242,4,0,2
Alumno243,4,3,2
Alumno244,0,1,3
Alumno245,1,2,2
Alumno246,2,0,3
Alumno247,2,2,1
Alumno248,1,4,4
Alumno249,3,2,1
Alumno250,2,2,2
Alumno251,2,3,0
Alumno252,2,2,3
Alumno253,1,4,2
Alumno254,0,1,3
Alumno255,1,1,1
Alumno256,0,4,1
Alumno257,2,2,4
Alumno258,4,1,1
Alumno259,0,2,2
Alumno260,1,2,1
Alumno261,3,3,0
Alumno262,4,2,4
Alumno263,3,0,4
Alumno264,3,4,1
Alumno265,4,3,2
Alumno266,3,2,4
Alumno267,3,4,2
Alumno268,2,3,4
Alumno269,1,4,0
Alumno270,2,0,1
Alumno271,3,2,3
Alumno272,2,4,0
Alumno273,1,3,3
Alumno274,3,1,1
Alumno275,4,3,2
Alumno276,2,1,4
Alumno277,3,4,1
Alumno278,3,2,3
Alumno279,0,4,2
Alumno280,1,3,3
Alumno281,2,1,0
Alumno282,1,1,1
Alumno283,4,1,0
Alumno284,4,3,2
Alumno285,0,1,2
Alumno286,2,0,2
Alumno287,1,2,1
Alumno288,4,3,0
Alumno289,3,3,0
Alumno290,3,0,1
Alumno291,2,3,4
Alumno292,0,2,2
Alumno293,1,1,1
Alumno294,2,4,1
Alumno295,4,1,4
Alumno296,2,3,4
Alumno297,3,3,2
Alumno298,1,3,0
Alumno299,3,3,1
Alumno300,4,0,0
Alumno301,1,0,0
Alumno302,4,3,4
Alumno303,2,0,2
Alumno304,3,1,1
Alumno305,4,2,0
Alumno306,4,1,4
Alumno307,3,3,1
Alumno308,3,0,2
Alumno309,4,3,3
Alumno310,0,4,1
Alumno311,1,0,1
Alumno312,1,3,4
Alumno313,1,1,4
Alumno314,2,0,3
Alumno315,4,2,3
Alumno316,2,2,3
Alumno317,4,4,2
Alumno318,3,1,3
Alumno319,2,4,2
Alumno320,3,1,4
Alumno321,3,0,2
Alumno322,4,0,2
Alumno323,3,0,4
Alumno324,3,1,2
Alumno325,3,4,1
Alumno326,4,4,1
Alumno327,2,0,3
Alumno328,0,2,1
Alumno329,2,2,4
Alumno330,4,3,2
Alumno331,3,1,1
Alumno332,0,3,0
Alumno333,1,4,1
Alumno334,2,0,1
Alumno335,3,1,1
Alumno336,3,0,4
Alumno337,1,2,4
Alumno338,1,0,0
Alumno339,3,3,4
Alumno340,4,0,1
Alumno341,4,4,2
Alumno342,2,3,2
Alumno343,1,0,3
Alumno344,2,4,1
Alumno345,4,2,4
Alumno346,1,1,4
Alumno347,4,0,0
Alumno348,1,3,1
Alumno349,2,4,4
Alumno350,0,0,2
Alumno351,4,4,0
Alumno352,2,3,0
Alumno353,1,3,4
Alumno354,1,0,1
Alumno355,0,1,3
Alumno356,2,2,4
Alumno357,0,2,1
Alumno358,1,1,1
Alumno359,1,2,4
Alumno360,1,4,3
Alumno361,0,1,1
Alumno362,4,2,1
Alumno363,2,4,0
Alumno364,2,0,3
Alumno365,1,1,3
Alumno366,0,0,0
Alumno367,0,3,3
Alumno368,2,1,0
Alumno369,2,1,4
Alumno370,1,1,2
Alumno371,2,4,3
Alumno372,4,2,3
Alumno373,2,2,1
Alumno374,4,2,0
Alumno375,3,2,1
Alumno376,1,2,2
Alumno377,0,4,2
Alumno378,0,2,4
Alumno379,2,3,0
Alumno380,2,3,1
Alumno381,2,1,4
Alumno382,4,2,4
Alumno383,2,1,1
Alumno384,4,4,3
Alumno385,4,2,2
Alumno386,0,0,0
Alumno387,2,2,4
Alumno388,1,4,3
Alumno389,2,1,1
Alumno390,2,4,4
Alumno391,0,1,3
Alumno392,0,0,3
Alumno393,4,0,2
Alumno394,1,3,0
Alumno395,2,2,1
Alumno396,2,2,4
Alumno397,1,0,2
